Question Report,,,,,
692,I have no audio or video?,HARRIS SATARI,'-,"Usually refreshing your browser will resolve any technical issues. However, if the issue persists, please try connecting using the below information. 

Zoom Link:  
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Passcode: 424428",Eian Clair
693,name check,Donald Edwards,'-,,
694,test,Rubens Jose Palma,'-,test,Rubens Jose Palma
695,Name Check,Joshua Gipson,'-,Name Check,Joshua Gipson
696,Test,Gabriel Justo,'-,Test,Gabriel Justo
697,where is this tracker,Ashwin Alphonso,'-,where is this tracker,Ashwin Alphonso
697,where is this tracker,Ashwin Alphonso,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
698,you all may need to check your audio settings,Alisha Prevette,'-,,
699,I switched to Zoom. Audio via Percipio was glitchy,Brian Vazquez# PMP,'-,"That is fine. Just be sure you are tracking everything in your attendance tracker file. You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info",Carl Mullin
700,I 2nd that Justin-I can not locate the tracker sheet.,Gina-Marie Starnes,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
701,where to submit the tracker file?,Ayush Kapadia,'-,where to submit the tracker file?,Ayush Kapadia
701,where to submit the tracker file?,Ayush Kapadia,'-,"The Attendance Tracker document should be used by everyone and includes the tables to manually fill in for attendance, all the details on how to fill in your attendance with an example as well as when and where to upload it once you complete the Bootcamp.",Carl Mullin
702,GM,Alejandradelo ArtaviaSandi,'-,GM,Alejandradelo ArtaviaSandi
703,"Zoom audio works great, I'm gonna keep percipio up for attendance and zoom for audio",Alexandr Sutej,'-,"Zoom audio works great, I'm gonna keep percipio up for attendance and zoom for audio",Alexandr Sutej
703,"Zoom audio works great, I'm gonna keep percipio up for attendance and zoom for audio",Alexandr Sutej,'-,Sounds good!,Carl Mullin
704,How long we would have access to all the material in Percipio?,LALITHA KANCHINADAM,'-,How long we would have access to all the material in Percipio?,LALITHA KANCHINADAM
704,How long we would have access to all the material in Percipio?,LALITHA KANCHINADAM,'-,as long as you have a Percipio account.,Eian Clair
705,.,Robert Atkinson,'-,.,Robert Atkinson
706,Is the sound cutting in and out for anyone else?,Kristen Dickinson-Trane Technologies,'-,Is the sound cutting in and out for anyone else?,Kristen Dickinson-Trane Technologies
706,Is the sound cutting in and out for anyone else?,Kristen Dickinson-Trane Technologies,'-,"If your audio is not working, please try refreshing your browser window. If the issue persists, please try connecting via Zoom directly using the below information. 

Zoom Link:  
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Passcode: 424428",Eian Clair
707,"Is the lunch break 3 hours after the starting time? Also, is the lunch break 1 hour or 1.5 hours?",Jonathan Mullins,'-,Takes place 3.5 hours from the start time. Lunch Break is 1 hour.,Eian Clair
708,Mike Ladd has joined via Zoom,Michael A. Ladd# FPEM,'-,,
709,"I'm attending via Percipio. Audio does not work. But, I can hear through my phone via the numbers provided. I also cannot find the resources link to access documents such as the attendance tracker. Please assist if possible.",Wendy Pacheco,'-,"I'm attending via Percipio. Audio does not work. But, I can hear through my phone via the numbers provided. I also cannot find the resources link to access documents such as the attendance tracker. Please assist if possible.",Wendy Pacheco
709,"I'm attending via Percipio. Audio does not work. But, I can hear through my phone via the numbers provided. I also cannot find the resources link to access documents such as the attendance tracker. Please assist if possible.",Wendy Pacheco,'-,"You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info

To get all resources from GitHub click Code, Download Zip, once downloaded you can extract the resources.",Carl Mullin
710,What time do we need to be logged in by?,Jason Gasaway,'-,The sessions all week begin at 10:00 AM EDT.,Carl Mullin
711,Who do we submit our tracker sheet to after the cohort?,Gina-Marie Starnes,'-,Please see pages 20 and 21 in the Attendance tracker document,Carl Mullin
712,Good Morning - testing.,Alexa Rabino,'-,Good Morning - testing.,Alexa Rabino
713,GM,Shawn Apgar,'-,GM,Shawn Apgar
714,Checking my display name,Timothy Kenney,'-,Checking my display name,Timothy Kenney
715,"If we log out for any reason during the session and log back in, will this affect our attendance?",Alexander Stanley,'-,"If we log out for any reason during the session and log back in, will this affect our attendance?",Alexander Stanley
715,"If we log out for any reason during the session and log back in, will this affect our attendance?",Alexander Stanley,'-,"If you're just switching devices or reconnecting due to a refresh, won't be an issue. Only if you are signed off for a prolonged period of time.",Eian Clair
716,Name check,Lucia Choc,'-,,
717,Test,Lokesh Sharma,'-,Test,Lokesh Sharma
718,name check,Malika lee Zisengwe,'-,name check,Malika lee Zisengwe
719,How do we know if we are being tracked for today?  Should we be completing the attendance sheet right now?,Carolyn Hassett,'-,How do we know if we are being tracked for today?  Should we be completing the attendance sheet right now?,Carolyn Hassett
719,How do we know if we are being tracked for today?  Should we be completing the attendance sheet right now?,Carolyn Hassett,'-,"You can jot it down on a piece of paper for now. The Attendance Tracker document should be used by everyone and includes all the details on how to fill in your attendance with an example as well as when and where to upload it once you complete the Bootcamp. You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info

If you are a Percipio user looking for the Attendance Tracker under Resources in Percipio it's called ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process"". Please scroll down the list under Resources.",Carl Mullin
720,My name is wrong... it's my email...,Lucas.Wells@kyndryl.com,'-,My name is wrong... it's my email...,Lucas.Wells@kyndryl.com
720,My name is wrong... it's my email...,Lucas.Wells@kyndryl.com,'-,"It pulls in whatever is set in Percipio. You will want to contact Skillsoft Customer Support to have your Percipio profile updated:

 
Should you wish to contact the Skillsoft Customer Support Team directly, you can obtain the contact information for Live Help chat, E-mail, or Phone from the following web page:
http://support.skillsoft.com/contact.asp",Eian Clair
721,test,ADRIAUNNAH DEWEY,'-,test,ADRIAUNNAH DEWEY
722,checking my name display,Thomas Diefenbach,'-,checking my name display,Thomas Diefenbach
723,I could not join Until now (30 mins late) due to Percipio login issue - can I still attend this class - other session? will I still be able to meet the attendance requirement in the 5 day course? ,Krina Patel,'-,I could not join Until now (30 mins late) due to Percipio login issue - can I still attend this class - other session? will I still be able to meet the attendance requirement in the 5 day course? ,Krina Patel
723,I could not join Until now (30 mins late) due to Percipio login issue - can I still attend this class - other session? will I still be able to meet the attendance requirement in the 5 day course? ,Krina Patel,'-,"You can if you follow the attednance requirements. Here are the attendance requirements for the 5-Day Bootcamp  – If you are unable to attend all the live sessions for whatever reason, you must attend at least 4 of the 5 live sessions and make up the missed session by watching the recording. A session is considered to be a missed session if you miss more than 15 mins (being logged out) of a session. If you miss more than 1 session, you would have to make up any additional sessions beyond the one by attending live in the next run for the 5-Day Bootcamp. You can't mix sessions between the 5-Day and 8-Day Bootcamp to get the 35 hours.",Carl Mullin
724,I'm on the calendar page but can't see how to download the attendance tracker,Nicole Mosley,'-,I'm on the calendar page but can't see how to download the attendance tracker,Nicole Mosley
724,I'm on the calendar page but can't see how to download the attendance tracker,Nicole Mosley,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
725,Im logged into zoom on mute and listening through my phone. Its helped the lag.,Mike Watson,'-,,
726,How do i track regular bracks in the tracker? Do i just leave the joining/leaving late column empty?,Cornelius Roth,'-,How do i track regular bracks in the tracker? Do i just leave the joining/leaving late column empty?,Cornelius Roth
726,How do i track regular bracks in the tracker? Do i just leave the joining/leaving late column empty?,Cornelius Roth,'-,Yes just leave that column empty unless you are actually joining/leaving the session. Stay logged in during breaks.,Eian Clair
727,just a test,Isaac T. Jackson# Sr.,'-,,
728,test,Raymond Terrell,'-,,
729,Is this course for Cybersecurity?,Jason Gasaway,'-,This is not a cybersecurity Bootcamp. This is a Project Management Professional (PMP) Bootcamp.,Eian Clair
730,"Good Morning! Ok, I need some clarification here. So, we still need to manually track our attendance through that tracking document EVEN IF we are logging in via Percipio? Won't our attendance be automatically tracked if we log-in that way? Or is the tracker document simply for our own accountability?",Ethan Groce,'-,"Good Morning! Ok, I need some clarification here. So, we still need to manually track our attendance through that tracking document EVEN IF we are logging in via Percipio? Won't our attendance be automatically tracked if we log-in that way? Or is the tracker document simply for our own accountability?",Ethan Groce
730,"Good Morning! Ok, I need some clarification here. So, we still need to manually track our attendance through that tracking document EVEN IF we are logging in via Percipio? Won't our attendance be automatically tracked if we log-in that way? Or is the tracker document simply for our own accountability?",Ethan Groce,'-,"Yes. The Certificate Request process requires a document to be uploaded for non Percipio users and Percipio users that may not have perfect attendance. 

And so, the Attendance Tracker document should be used by everyone and includes the tables to manually fill in for attendance, all the details on how to fill in your attendance with an example as well as when and where to upload it once you complete the Bootcamp. You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info",Carl Mullin
731,*breaks,Cornelius Roth,'-,*breaks,Cornelius Roth
732,Who would you contact in Elevance for the learner kit?,Michael Brady,'-,Who would you contact in Elevance for the learner kit?,Michael Brady
732,Who would you contact in Elevance for the learner kit?,Michael Brady,'-,Someone in HR or your Training Staff.,Carl Mullin
733,When do we need to have the learner kit? Can we buy it after the bootcamp?,Raqib Ali Shah,'-,When do we need to have the learner kit? Can we buy it after the bootcamp?,Raqib Ali Shah
733,When do we need to have the learner kit? Can we buy it after the bootcamp?,Raqib Ali Shah,'-,You need it before you submit your application to PMI.,Carl Mullin
734,name check,Radoslav Margetin,'-,name check,Radoslav Margetin
735, ,Kenneth Fu,'-, ,Kenneth Fu
736,Was having audio issues through the entire first video. Just got situated on Zoom. How do we access the tracker/calander?,Nasaria Hodge,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
737,name test,Enrique Ramses Herrera,'-,name test,Enrique Ramses Herrera
738,Is this the Learner Kit purchased through skill soft the same as resources provided to PMI members?,Dwight Saunders,'-,Is this the Learner Kit purchased through skill soft the same as resources provided to PMI members?,Dwight Saunders
738,Is this the Learner Kit purchased through skill soft the same as resources provided to PMI members?,Dwight Saunders,'-,The PMP learner kit is not available by becoming a PMI member. It is a separate resource.,Carl Mullin
739,Any update on location of attendance tracker?,Michael Opatola,'-,"The Attendance Tracker document should be used by everyone and includes the tables to fill in for attendance, all the details on how to fill in your attendance with an example as well as when and where to upload it once you complete the Bootcamp. You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info

If you are a Percipio user looking for the Attendance Tracker under Resources in Percipio it's called ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process"". Please scroll down the list under Resources.",Carl Mullin
740,Name test,Felix Elendu,'-,Name test,Felix Elendu
741,lost the audio,Nicole Mosley,'-,lost the audio,Nicole Mosley
741,lost the audio,Nicole Mosley,'-,"If you are having connectivity issues, black/blank screen, audio issues, and so on due to Percipo you want join Zoom directly, stayed logged with Zoom, and then log in to Percipio. You can be logged in to both at the same time.

Desktop client:

Webinar ID: 938 5686 0131
Passcode: 424428

Or you can use the Web link:
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428

Also, if you are a Percipio user with this issue, please advise Customer Support https://support.skillsoft.com/bootcamps",Carl Mullin
742,Can we get the links emailed to us?  This is a lot of information to write down.  ,Carolyn Hassett,'-,Can we get the links emailed to us?  This is a lot of information to write down.  ,Carolyn Hassett
742,Can we get the links emailed to us?  This is a lot of information to write down.  ,Carolyn Hassett,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day

The videos are on the Channel page as well for later review.",Eian Clair
743,are you sharing?,Nicole Mosley,'-,are you sharing?,Nicole Mosley
743,are you sharing?,Nicole Mosley,'-,"Yes. If you are having connectivity issues, black/blank screen, audio issues, and so on due to Percipo you want join Zoom directly, stayed logged with Zoom, and then log in to Percipio. You can be logged in to both at the same time.

Desktop client:

Webinar ID: 938 5686 0131
Passcode: 424428

Or you can use the Web link:
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428

Also, if you are a Percipio user with this issue, please advise Customer Support https://support.skillsoft.com/bootcamps",Carl Mullin
744,Do we only need to fill the attendance sheet at the end of the bootcamp or everyday?,Raqib Ali Shah,'-,Do we only need to fill the attendance sheet at the end of the bootcamp or everyday?,Raqib Ali Shah
744,Do we only need to fill the attendance sheet at the end of the bootcamp or everyday?,Raqib Ali Shah,'-,live answered,Orlando Sequera
745,"Everything is clear, I got disconnected for less than one minute",Hussein Al Awsaj,'-,"Everything is clear, I got disconnected for less than one minute",Hussein Al Awsaj
746,Is my name displayed?,Eileen Darrah,'-,Is my name displayed?,Eileen Darrah
747,name test,Jason Ronsse,'-,name test,Jason Ronsse
748,Can anyone drop the zoom link? I got kicked out again,Rachael Collins,'-,Can anyone drop the zoom link? I got kicked out again,Rachael Collins
748,Can anyone drop the zoom link? I got kicked out again,Rachael Collins,'-,"https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
749,Please confirm if you can see my name - Lakshmi Pamidimukkala,Lakshmi Pamidimukkala,'-,Please confirm if you can see my name - Lakshmi Pamidimukkala,Lakshmi Pamidimukkala
749,Please confirm if you can see my name - Lakshmi Pamidimukkala,Lakshmi Pamidimukkala,'-,confirmed,Eian Clair
750,voice not coming,Kamini Kashyap,'-,voice not coming,Kamini Kashyap
750,voice not coming,Kamini Kashyap,'-,"Usually refreshing your browser will resolve any technical issues. However, if the issue persists, please try connecting using the below information. 

Zoom Link:  
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Passcode: 424428",Eian Clair
751,The video isn't showing,Heather Burnett,'-,The video isn't showing,Heather Burnett
751,The video isn't showing,Heather Burnett,'-,"Usually refreshing your browser will resolve any technical issues. However, if the issue persists, please try connecting using the below information. 

Zoom Link:  
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Passcode: 424428",Eian Clair
752,test,Angelica Macedon-Tisdale,'-,test,Angelica Macedon-Tisdale
753,If we are taking the course through O2O do we use the attendance tracker on Precipio?,Christopher Murray,'-,If we are taking the course through O2O do we use the attendance tracker on Precipio?,Christopher Murray
753,If we are taking the course through O2O do we use the attendance tracker on Precipio?,Christopher Murray,'-,You download the attendance tracker either from Percipio or GitHub.,Carl Mullin
754,Who do  I contact for PMP learner kit ?,Lakshmi Pamidimukkala,'-,Who do  I contact for PMP learner kit ?,Lakshmi Pamidimukkala
754,Who do  I contact for PMP learner kit ?,Lakshmi Pamidimukkala,'-,"You can purchase the learner kit from the Skillsoft website:

https://www.skillsoft.com/pmp-voucher-offering",Eian Clair
755,no audio with current video,Gary Lewis,'-,no audio with current video,Gary Lewis
755,no audio with current video,Gary Lewis,'-,"If your audio is not working, please try refreshing your browser window. If the issue persists, please try connecting via Zoom directly using the below information. 

Zoom Link:  
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09

Passcode: 424428",Eian Clair
756,Name Check ,Jacquelyn Gallagher,'-,Name Check ,Jacquelyn Gallagher
757,Name check,Robert Baker,'-,Name check,Robert Baker
758,"Thanks for that. For example, I have to go onsite during the lunch break and take the rest of the course from the office. To do that without affecting attendance tracking, will I have to join on mobile while I commute, then rejoin on laptop when I get in the office?",Alexander Stanley,'-,"Thanks for that. For example, I have to go onsite during the lunch break and take the rest of the course from the office. To do that without affecting attendance tracking, will I have to join on mobile while I commute, then rejoin on laptop when I get in the office?",Alexander Stanley
758,"Thanks for that. For example, I have to go onsite during the lunch break and take the rest of the course from the office. To do that without affecting attendance tracking, will I have to join on mobile while I commute, then rejoin on laptop when I get in the office?",Alexander Stanley,'-,"That might be a good plan just to ensure the tracking keeps. 

I would recommend to also remain logged in during the lunch portion of the session to ensure that nothing goes wrong with the tracking. 

If any issues prevent your progress from being tracked, no worries, there is still a method to obtain the certificate of completion manually (if not automatically generated by Percipio for whatever reason).",Eian Clair
759,"Percipio is saying my username is not correct, is that because I am already logged in here? ",Blake Bass,'-,"Percipio is saying my username is not correct, is that because I am already logged in here? ",Blake Bass
759,"Percipio is saying my username is not correct, is that because I am already logged in here? ",Blake Bass,'-,"Your name is showing correctly in Zoom at this time, Blake. You're good to go.",Eian Clair
760,just refreshed my browser and the audio is still malfunctioning. ,Christopher Daches,'-,just refreshed my browser and the audio is still malfunctioning. ,Christopher Daches
760,just refreshed my browser and the audio is still malfunctioning. ,Christopher Daches,'-,"If the issue continues to persist, you may try dialing in by phone for clear audio.
 
Webinar ID: 
938 5686 0131
 
Passcode: 
424428
 
One tap mobile: 
US: +16469313860,,93856860131#,,,,*424428#  or +16694449171,,93856860131#,,,,*424428#
 
Telephone: 
*Please note, for higher quality, dial a number based on your current location:
 
US: +1 646 931 3860  or +1 669 444 9171  or +1 669 900 6833  or +1 689 278 1000  or +1 719 359 4580  or +1 253 205 0468  or +1 253 215 8782  or +1 301 715 8592  or +1 305 224 1968  or +1 309 205 3325  or +1 312 626 6799  or +1 346 248 7799  or +1 360 209 5623  or +1 386 347 5053  or +1 408 638 0968  or +1 507 473 4847  or +1 564 217 2000  or +1 646 876 9923 

International numbers available: https://skillsoftbootcamp.zoom.us/u/adKCUPNxe8",Eian Clair
761,Is it a e book or paper back ?,Lakshmi Pamidimukkala,'-,Is it a e book or paper back ?,Lakshmi Pamidimukkala
761,Is it a e book or paper back ?,Lakshmi Pamidimukkala,'-,"The PMI PMBOK 6th edition is available as an e-book on the Percipio platform. PMBOK 7th edition must be purchased in digital or physical formats at the PMI website: 

https://www.pmi.org/pmbok-guide-standards/foundational/PMBOK",Eian Clair
762,Can you provide the meeting ID instead of the Link?,Joshua Carson,'-,"Webinar ID: 938 5686 0131
Passcode: 424428",Carl Mullin
763,"Webinar ID: 
938 5686 0131
",Nina Santucci,'-,"Webinar ID: 
938 5686 0131
",Nina Santucci
764,"Since my name is coming up as my email address, will I have issues with tracking by my name?",Frank.Wire1@kyndryl.com,'-,"Since my name is coming up as my email address, will I have issues with tracking by my name?",Frank.Wire1@kyndryl.com
764,"Since my name is coming up as my email address, will I have issues with tracking by my name?",Frank.Wire1@kyndryl.com,'-,"Probably not, but you can contact Skillsoft Customer Support to have the name updated. Should you wish to contact the Skillsoft Customer Support Team directly, you can obtain the contact information for Live Help chat, E-mail, or Phone from the following web page:
http://support.skillsoft.com/contact.asp",Eian Clair
765,test,Mandy Cohn,'-,test,Mandy Cohn
766,Name check,Nicanor Barboza,'-,Name check,Nicanor Barboza
767,Are we able to access the PMP learner kit through Percipio?,mattharper,'-,No,Carl Mullin
768,Hello,Jeffrey Pace,'-,,
769,no,Sangeeta Tripathi,'-,no,Sangeeta Tripathi
770,Do you need the learner kit to be in this bootcamp?,Fatema Alharbi,'-,Do you need the learner kit to be in this bootcamp?,Fatema Alharbi
770,Do you need the learner kit to be in this bootcamp?,Fatema Alharbi,'-,"Not to attend the bootcamp, but it is required to be purchased before you apply for your exam. You may purchase a learner kit online at:
https://www.skillsoft.com/pmp-voucher-offering",Eian Clair
771,Do I have to Sit for the exam to get the training completion certificate? ,Shueb Kamil,'-,Do I have to Sit for the exam to get the training completion certificate? ,Shueb Kamil
771,Do I have to Sit for the exam to get the training completion certificate? ,Shueb Kamil,'-,"No, you just have to meet the attendance requirements",Carl Mullin
772,"I joined using Percipio, want to login using zoom, can I close the Percipio? at beginning instructed us not logoff any point of time, so asking.",Sreekanth Vempati,'-,"I joined using Percipio, want to login using zoom, can I close the Percipio? at beginning instructed us not logoff any point of time, so asking.",Sreekanth Vempati
772,"I joined using Percipio, want to login using zoom, can I close the Percipio? at beginning instructed us not logoff any point of time, so asking.",Sreekanth Vempati,'-,"If you join directly through zoom, not Percipio, then you will just be required to submit your attendance tracker (after the cohort is completed) to obtain your certificate, rather than Percipio generating it for you. So you can certainly join through zoom and still retain your attendance (and thus obtain your completion certificate).",Eian Clair
773,test from zoom,Krina Patel,'-,,
774,"Good morning, name check",Jose Juan Leonor Marrero,'-,"Good morning, name check",Jose Juan Leonor Marrero
775,If logged in zoom do I need to be logged into percipo also to get attendance?,Jedidiah Larabee,'-,"Either or should work. If you can be logged into Percipio at the same time, you maay want to.",Carl Mullin
776,Will you need to order your own learning kit even if you are already a PMI member?,Justin DASILVA,'-,"Yes, if you plan to sit the exam.",Carl Mullin
777,I was kicked out of Percipio. Can you provide the zoom details again?,Kim Duhon,'-,I was kicked out of Percipio. Can you provide the zoom details again?,Kim Duhon
777,I was kicked out of Percipio. Can you provide the zoom details again?,Kim Duhon,'-,"https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428",Carl Mullin
778,"How do you mute the audio on percipio, so that you can listen to the audio on zoom?",John Yoon,'-,"How do you mute the audio on percipio, so that you can listen to the audio on zoom?",John Yoon
778,"How do you mute the audio on percipio, so that you can listen to the audio on zoom?",John Yoon,'-,"Right click the browser tab that you wish to mute and select muite, this is teh quickest and easiest way.",Eian Clair
779,O2O doesnt have a learner kit correct?,Christopher Murray,'-,O2O doesnt have a learner kit correct?,Christopher Murray
779,O2O doesnt have a learner kit correct?,Christopher Murray,'-,They don't have it. But they provide you with access. Check with your O2O advisor.,Carl Mullin
780,Test,Shonel Sonakjee,'-,Test,Shonel Sonakjee
781,test,Timothy Scott,'-,test,Timothy Scott
782,Are these videos also posted in Git ?,PUNEET BATHEJA,'-,Are these videos also posted in Git ?,PUNEET BATHEJA
782,Are these videos also posted in Git ?,PUNEET BATHEJA,'-,"Yes, you can access them here.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/Lunch%20Break%20Videos",Carl Mullin
783,test,Grantley Whitaker,'-,test,Grantley Whitaker
784,test,Raheem Barthell,'-,test,Raheem Barthell
785,Name check,Jamie Foster,'-,Name check,Jamie Foster
786,i keep getting thumbs up to my questions.  what does that mean?,Christopher Murray,'-,i keep getting thumbs up to my questions.  what does that mean?,Christopher Murray
787,is the learners kit something that is needed for completion for bootcamp,Thomas Levi,'-,is the learners kit something that is needed for completion for bootcamp,Thomas Levi
787,is the learners kit something that is needed for completion for bootcamp,Thomas Levi,'-,"All participants in Skillsoft’s ATP-authorized PMP Bootcamps who intend to sit for the PMP exam are required to have a PMP Learner Kit. This PMP Learner Kit is not required for participants who are attending the Bootcamp for reasons other than taking the exam, such as expanding their project management knowledge, or earning continuing education credit.",Carl Mullin
788,I am not able to control the video or mic? anyone else having the same issue?,Jose Magana,'-,"Only the instructor's mic and video are enabled during this session, so this is acting as per normal.",Eian Clair
789,it means we want the same info,Kevin Wikstrom,'-,,
790,"Dear Colleagues, i have logged in. but may i know but the tracker ",Ivan Felix Ssebunya,'-,"Dear Colleagues, i have logged in. but may i know but the tracker ",Ivan Felix Ssebunya
790,"Dear Colleagues, i have logged in. but may i know but the tracker ",Ivan Felix Ssebunya,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
791,Yes. Im having the same problem,John Yoon,'-,,
792,Checking now,Lindsay Mallette,'-,,
793,I am still not signed into the attendance sheet......,James Zedak,'-,I am still not signed into the attendance sheet......,James Zedak
793,I am still not signed into the attendance sheet......,James Zedak,'-,You don't sign in. You download it and manually fill it out.,Carl Mullin
794,how do you mute the video on percipio so that you can listen to the audio on zoom?,John Yoon,'-,"Try muting the tab you don't want to hear. Right click the browser tab and select mute, this is the easiest and quickest way. 

Alternatively, select the Percipio session and then select the arrow on the ""Audio"" button in Zoom and then select leave audio.",Eian Clair
795,Attendance check,Katrina Boone,'-,Attendance check,Katrina Boone
796,Checking name,Blake Grier,'-,Checking name,Blake Grier
797,TY,Roy Johnson,'-,TY,Roy Johnson
